"CÓDIGO CNAE","LINK CNAE","DESCRIÇÃO CNAE","CÓDIGO SERVIÇO","DESCRIÇÃO SERVIÇO","LOCAL DE RECOLHIMENTO - ISS"
"5620103","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5620103-cantinas-servicos-de-alimentacao-privativos/","Cantinas – serviços de alimentação privativos","10.05","Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.","ISS devido no local do Estabelecimento do Prestador"
"5620104","https://www.contabilizei.com.br/consulta-cnae/alimentacao/5620104-fornecimento-de-alimentos-preparados-preponderantemente-para-consumo-domiciliar/","Fornecimento de alimentos preparados preponderantemente para consumo domiciliar","10.06","Agenciamento marítimo.","ISS devido no local do Estabelecimento do Prestador"
"5911101","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911101-estudios-cinematograficos/","Estúdios cinematográficos","10.07","Agenciamento de notícias.","ISS devido no local do Estabelecimento do Prestador"
"5911102","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911102-producao-de-filmes-para-publicidade/","Produção de filmes para publicidade","10.08","Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.","ISS devido no local do Estabelecimento do Prestador"
"5911199","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911199-atividades-de-producao-cinematografica-de-videos-e-de-programas-de-televisao-nao-especificadas-anteriormente/","Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","10.09","Representação de qualquer natureza, inclusive comercial.","ISS devido no local do Estabelecimento do Prestador"
"5912001","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912001-servicos-de-dublagem/","Serviços de dublagem","10.10","Distribuição de bens de terceiros.","ISS devido no local do Estabelecimento do Prestador"
"5912002","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912002-servicos-de-mixagem-sonora-em-producao-audiovisual/","Serviços de mixagem sonora em produção audiovisual","11.01","Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.","ISS devido no local da execução do serviço"
"5912099","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912099-atividades-de-pos-producao-cinematografica-de-videos-e-de-programas-de-televisao-nao-especificadas-anteriormente/","Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","11.02","Vigilância, segurança ou monitoramento de bens e pessoas.","ISS devido no local da execução do serviço"
"5913800","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5913800-distribuicao-cinematografica-de-video-e-de-programas-de-televisao/","Distribuição cinematográfica, de vídeo e de programas de televisão","11.02","Vigilância, segurança ou monitoramento de bens, pessoas e semoventes. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local da execução do serviço"
"5914600","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5914600-atividades-de-exibicao-cinematografica/","Atividades de exibição cinematográfica","11.03","Escolta, inclusive de veículos e cargas.","ISS devido no local do Estabelecimento do Prestador"
"5920100","https://www.contabilizei.com.br/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5920100-atividades-de-gravacao-de-som-e-de-edicao-de-musica/","Atividades de gravação de som e de edição de música","11.04","Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.","ISS devido no local da execução do serviço"
"6201501","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201501-desenvolvimento-de-programas-de-computador-sob-encomenda/","Desenvolvimento de programas de computador sob encomenda","12.01","Espetáculos teatrais.","ISS devido no local da execução do serviço"
"6201501","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201501-desenvolvimento-de-programas-de-computador-sob-encomenda/","Desenvolvimento de programas de computador sob encomenda","12.02","Exibições cinematográficas.","ISS devido no local da execução do serviço"
"6201502","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201502-web-design/","Web design","12.03","Espetáculos circenses.","ISS devido no local da execução do serviço"
"6201502","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201502-web-design/","Web design","12.04","Programas de auditório.","ISS devido no local da execução do serviço"
"6202300","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6202300-desenvolvimento-e-licenciamento-de-programas-de-computador-customizaveis/","Desenvolvimento e licenciamento de programas de computador customizáveis","12.05","Parques de diversões, centros de lazer e congêneres.","ISS devido no local da execução do serviço"
"6202300","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6202300-desenvolvimento-e-licenciamento-de-programas-de-computador-customizaveis/","Desenvolvimento e licenciamento de programas de computador customizáveis","12.06","Boates, taxi-dancing e congêneres.","ISS devido no local da execução do serviço"
"6203100","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6203100-desenvolvimento-e-licenciamento-de-programas-de-computador-nao-customizaveis/","Desenvolvimento e licenciamento de programas de computador não-customizáveis","12.07","Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.","ISS devido no local da execução do serviço"
"6203100","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6203100-desenvolvimento-e-licenciamento-de-programas-de-computador-nao-customizaveis/","Desenvolvimento e licenciamento de programas de computador não-customizáveis","12.08","Feiras, exposições, congressos e congêneres.","ISS devido no local da execução do serviço"
"6204000","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6204000-consultoria-em-tecnologia-da-informacao/","Consultoria em tecnologia da informação","12.09","Bilhares, boliches e diversões eletrônicas ou não.","ISS devido no local da execução do serviço"
"6209100","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6209100-suporte-tecnico-manutencao-e-outros-servicos-em-tecnologia-da-informacao/","Suporte técnico, manutenção e outros serviços em tecnologia da informação","12.10","Corridas e competições de animais.","ISS devido no local da execução do serviço"
"6209100","https://www.contabilizei.com.br/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6209100-suporte-tecnico-manutencao-e-outros-servicos-em-tecnologia-da-informacao/","Suporte técnico, manutenção e outros serviços em tecnologia da informação","12.11","Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.","ISS devido no local da execução do serviço"
"6311900","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6311900-tratamento-de-dados-provedores-de-servicos-de-aplicacao-e-servicos-de-hospedagem-na-internet/","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","12.12","Execução de música.","ISS devido no local da execução do serviço"
"6311900","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6311900-tratamento-de-dados-provedores-de-servicos-de-aplicacao-e-servicos-de-hospedagem-na-internet/","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","12.13","Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"6319400","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6319400-portais-provedores-de-conteudo-e-outros-servicos-de-informacao-na-internet/","Portais, provedores de conteúdo e outros serviços de informação na internet","12.14","Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.","ISS devido no local da execução do serviço"
"6319400","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6319400-portais-provedores-de-conteudo-e-outros-servicos-de-informacao-na-internet/","Portais, provedores de conteúdo e outros serviços de informação na internet","12.15","Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.","ISS devido no local da execução do serviço"
"6391700","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6391700-agencias-de-noticias/","Agências de notícias","12.16","Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.","ISS devido no local da execução do serviço"
"6399200","https://www.contabilizei.com.br/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6399200-outras-atividades-de-prestacao-de-servicos-de-informacao-nao-especificadas-anteriormente/","Outras atividades de prestação de serviços de informação não especificadas anteriormente","12.17","Recreação e animação, inclusive em festas e eventos de qualquer natureza.","ISS devido no local da execução do serviço"
"6619302","https://www.contabilizei.com.br/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6619302-correspondentes-de-instituicoes-financeiras/","Correspondentes de instituições financeiras","13.02","Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"6621501","https://www.contabilizei.com.br/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6621501-peritos-e-avaliadores-de-seguros/","Peritos e avaliadores de seguros","13.03","Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"6621502","https://www.contabilizei.com.br/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6621502-auditoria-e-consultoria-atuarial/","Auditoria e consultoria atuarial","13.04","Reprografia, microfilmagem e digitalização.","ISS devido no local do Estabelecimento do Prestador"
"6622300","https://www.contabilizei.com.br/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6622300-corretores-e-agentes-de-seguros-de-planos-de-previdencia-complementar-e-de-saude/","Corretores e agentes de seguros, de planos de previdência complementar e de saúde","13.05","Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"6629100","https://www.contabilizei.com.br/consulta-cnae/atividades-auxiliares-dos-servicos-financeiros-seguros-previdencia-complementar-e-planos-de-saude/6629100-atividades-auxiliares-dos-seguros-da-previdencia-complementar-e-dos-planos-de-saude-nao-especificadas-anteriormente/","Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente","14.01","Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).","ISS devido no local do Estabelecimento do Prestador"
"6821801","https://www.contabilizei.com.br/consulta-cnae/atividades-imobiliarias/6821801-corretagem-na-compra-e-venda-e-avaliacao-de-imoveis/","Corretagem na compra e venda e avaliação de imóveis","14.02","Assistência técnica.","ISS devido no local do Estabelecimento do Prestador"
"6821802","https://www.contabilizei.com.br/consulta-cnae/atividades-imobiliarias/6821802-corretagem-no-aluguel-de-imoveis/","Corretagem no aluguel de imóveis","14.03","Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).","ISS devido no local do Estabelecimento do Prestador"
"6911701","https://www.contabilizei.com.br/consulta-cnae/atividades-juridicas-de-contabilidade-e-de-auditoria/6911701-servicos-advocaticios/","Serviços advocatícios","14.04","Recauchutagem ou regeneração de pneus.","ISS devido no local do Estabelecimento do Prestador"
"6911703","https://www.contabilizei.com.br/consulta-cnae/atividades-juridicas-de-contabilidade-e-de-auditoria/6911703-agente-de-propriedade-industrial/","Agente de propriedade industrial","14.05","Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"7020400","https://www.contabilizei.com.br/consulta-cnae/atividades-de-sedes-de-empresas-e-de-consultoria-em-gestao-empresarial/7020400-atividades-de-consultoria-em-gestao-empresarial-exceto-consultoria-tecnica-especifica/","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","14.06","Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.","ISS devido no local do Estabelecimento do Prestador"
"7111100","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7111100-servicos-de-arquitetura/","Serviços de arquitetura","14.07","Colocação de molduras e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7112000","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7112000-servicos-de-engenharia/","Serviços de engenharia","14.08","Encadernação, gravação e douração de livros, revistas e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7119701","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7119701-servicos-de-cartografia-topografia-e-geodesia/","Serviços de cartografia, topografia e geodésia","14.09","Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.","ISS devido no local do Estabelecimento do Prestador"
"7119702","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7119702-atividades-de-estudos-geologicos/","Atividades de estudos geológicos","14.10","Tinturaria e lavanderia.","ISS devido no local do Estabelecimento do Prestador"
"7119703","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7119703-servicos-de-desenho-tecnico-relacionados-a-arquitetura-e-engenharia/","Serviços de desenho técnico relacionados à arquitetura e engenharia","14.11","Tapeçaria e reforma de estofamentos em geral.","ISS devido no local do Estabelecimento do Prestador"
"7119704","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7119704-servicos-de-pericia-tecnica-relacionados-a-seguranca-do-trabalho/","Serviços de perícia técnica relacionados à segurança do trabalho","14.12","Funilaria e lanternagem.","ISS devido no local do Estabelecimento do Prestador"
"7119799","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7119799-atividades-tecnicas-relacionadas-a-engenharia-e-arquitetura-nao-especificadas-anteriormente/","Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente","14.13","Carpintaria e serralheria.","ISS devido no local do Estabelecimento do Prestador"
"7120100","https://www.contabilizei.com.br/consulta-cnae/servicos-de-arquitetura-e-engenharia-testes-e-analises-tecnicas/7120100-testes-e-analises-tecnicas/","Testes e análises técnicas","14.14","Guincho intramunicipal, guindaste e içamento. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"7210000","https://www.contabilizei.com.br/consulta-cnae/pesquisa-e-desenvolvimento-cientifico/7210000-pesquisa-e-desenvolvimento-experimental-em-ciencias-fisicas-e-naturais/","Pesquisa e desenvolvimento experimental em ciências físicas e naturais","15.01","Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7220700","https://www.contabilizei.com.br/consulta-cnae/pesquisa-e-desenvolvimento-cientifico/7220700-pesquisa-e-desenvolvimento-experimental-em-ciencias-sociais-e-humanas/","Pesquisa e desenvolvimento experimental em ciências sociais e humanas","15.02","Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.","ISS devido no local do Estabelecimento do Prestador"
"7311400","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7311400-agencias-de-publicidade/","Agências de publicidade","15.03","Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.","ISS devido no local do Estabelecimento do Prestador"
"7312200","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7312200-agenciamento-de-espacos-para-publicidade-exceto-em-veiculos-de-comunicacao/","Agenciamento de espaços para publicidade exceto em veículos de comunicação","15.04","Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7319001","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7319001-criacao-de-estandes-para-feiras-e-exposicoes/","Criação de estandes para feiras e exposições","15.05","Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos","ISS devido no local do Estabelecimento do Prestador"
"7319002","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7319002-promocao-de-vendas/","Promoção de vendas","15.06","Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.","ISS devido no local do Estabelecimento do Prestador"
"7319003","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7319003-marketing-direto/","Marketing direto","15.07","Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.","ISS devido no local do Estabelecimento do Prestador"
"7319004","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7319004-consultoria-em-publicidade/","Consultoria em publicidade","15.08","Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.","ISS devido no local do Estabelecimento do Prestador"
"7319099","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7319099-outras-atividades-de-publicidade-nao-especificadas-anteriormente/","Outras atividades de publicidade não especificadas anteriormente","15.09","Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).","ISS devido no local do Estabelecimento do Prestador"
"7320300","https://www.contabilizei.com.br/consulta-cnae/publicidade-e-pesquisa-de-mercado/7320300-pesquisas-de-mercado-e-de-opiniao-publica/","Pesquisas de mercado e de opinião pública","15.10","Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral.","ISS devido no local do Estabelecimento do Prestador"
"7410202","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7410202-design-de-interiores/","Design de interiores","15.11","Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados.","ISS devido no local do Estabelecimento do Prestador"
"7410202","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7410202-design-de-interiores/","Design de interiores","15.12","Custódia em geral, inclusive de títulos e valores mobiliários.","ISS devido no local do Estabelecimento do Prestador"
"7410203","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7410203-design-de-produto/","Design de produto","15.13","Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.","ISS devido no local do Estabelecimento do Prestador"
"7410299","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7410299-atividades-de-design-nao-especificadas-anteriormente/","Atividades de design não especificadas anteriormente","15.14","Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7420001","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7420001-atividades-de-producao-de-fotografias-exceto-aerea-e-submarina/","Atividades de produção de fotografias, exceto aérea e submarina","15.15","Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.","ISS devido no local do Estabelecimento do Prestador"
"7420002","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7420002-atividades-de-producao-de-fotografias-aereas-e-submarinas/","Atividades de produção de fotografias aéreas e submarinas","15.16","Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.","ISS devido no local do Estabelecimento do Prestador"
"7420003","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7420003-laboratorios-fotograficos/","Laboratórios fotográficos","15.17","Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.","ISS devido no local do Estabelecimento do Prestador"
"7420004","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7420004-filmagem-de-festas-e-eventos/","Filmagem de festas e eventos","15.18","Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.","ISS devido no local do Estabelecimento do Prestador"
"7420005","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7420005-servicos-de-microfilmagem/","Serviços de microfilmagem","16.01","Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local da execução do serviço"
"7490101","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490101-servicos-de-traducao-interpretacao-e-similares/","Serviços de tradução, interpretação e similares","16.02","Outros serviços de transporte de natureza municipal. (Incluído pela Lei Complementar nº 157, de 2016)","ISS devido no local da execução do serviço"
"7490102","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490102-escafandria-e-mergulho/","Escafandria e mergulho","17.01","Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.","ISS devido no local do Estabelecimento do Prestador"
"7490103","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490103-servicos-de-agronomia-e-de-consultoria-as-atividades-agricolas-e-pecuarias/","Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias","17.02","Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"7490104","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490104-atividades-de-intermediacao-e-agenciamento-de-servicos-e-negocios-em-geral-exceto-imobiliarios/","Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","17.03","Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.","ISS devido no local do Estabelecimento do Prestador"
"7490105","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490105-agenciamento-de-profissionais-para-atividades-esportivas-culturais-e-artisticas/","Agenciamento de profissionais para atividades esportivas, culturais e artísticas","17.04","Recrutamento, agenciamento, seleção e colocação de mão-de-obra.","ISS devido no local do Estabelecimento do Prestador"
"7490199","https://www.contabilizei.com.br/consulta-cnae/outras-atividades-profissionais-cientificas-e-tecnicas/7490199-outras-atividades-profissionais-cientificas-e-tecnicas-nao-especificadas-anteriormente/","Outras atividades profissionais, científicas e técnicas não especificadas anteriormente","17.05","Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.","ISS devido no local da execução do serviço"
"7500100","https://www.contabilizei.com.br/consulta-cnae/atividades-veterinarias/7500100-atividades-veterinarias/","Atividades veterinárias","17.06","Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.","ISS devido no local do Estabelecimento do Prestador"
"7721700","https://www.contabilizei.com.br/consulta-cnae/alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros/7721700-aluguel-de-equipamentos-recreativos-e-esportivos/","Aluguel de equipamentos recreativos e esportivos","17.08","Franquia (franchising).","ISS devido no local do Estabelecimento do Prestador"
"7722500","https://www.contabilizei.com.br/consulta-cnae/alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros/7722500-aluguel-de-fitas-de-video-dvds-e-similares/","Aluguel de fitas de vídeo, DVDs e similares","17.09","Perícias, laudos, exames técnicos e análises técnicas.","ISS devido no local do Estabelecimento do Prestador"
"7723300","https://www.contabilizei.com.br/consulta-cnae/alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros/7723300-aluguel-de-objetos-do-vestuario-joias-e-acessorios/","Aluguel de objetos do vestuário, jóias e acessórios","17.10","Planejamento, organização e administração de feiras, exposições, congressos e congêneres.","ISS devido no local da execução do serviço"
"7729201","https://www.contabilizei.com.br/consulta-cnae/alugueis-nao-imobiliarios-e-gestao-de-ativos-intangiveis-nao-financeiros/7729201-aluguel-de-aparelhos-de-jogos-eletronicos/","Aluguel de aparelhos de jogos eletrônicos","17.11","Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).","ISS devido no local do Estabelecimento do Prestador"
